algorithm_name,n_queens,run_n,explored_states,time_taken,solution_found
hillClimbing,8,9,4,0.032002925872802734,False
simulatedAnnealing,8,9,799,0.11199259757995605,False
genetic,8,9,1600,4.61299991607666,False
hillClimbing,8,10,4,0.040999412536621094,False
simulatedAnnealing,8,10,799,0.1379988193511963,False
genetic,8,10,1600,4.597995758056641,False
hillClimbing,8,11,4,0.03999614715576172,False
simulatedAnnealing,8,11,799,0.12400269508361816,False
genetic,8,11,88,0.2539970874786377,True
hillClimbing,8,12,3,0.023998737335205078,False
simulatedAnnealing,8,12,799,0.11999821662902832,False
genetic,8,12,1600,4.645996809005737,False
hillClimbing,8,13,6,0.047002315521240234,True
simulatedAnnealing,8,13,799,0.11400651931762695,False
genetic,8,13,1154,3.380995750427246,True
hillClimbing,8,14,3,0.027002811431884766,False
simulatedAnnealing,8,14,799,0.11600136756896973,False
genetic,8,14,552,1.624002456665039,True
hillClimbing,8,15,5,0.038942813873291016,False
simulatedAnnealing,8,15,799,0.11199641227722168,False
genetic,8,15,1375,4.049995422363281,True
hillClimbing,8,16,5,0.04100656509399414,False
simulatedAnnealing,8,16,799,0.11600136756896973,False
genetic,8,16,1600,4.726971387863159,False
hillClimbing,8,17,5,0.03800630569458008,False
simulatedAnnealing,8,17,799,0.11200571060180664,False
genetic,8,17,207,0.6069951057434082,True
hillClimbing,8,18,4,0.03197669982910156,False
simulatedAnnealing,8,18,799,0.11600446701049805,False
genetic,8,18,1600,4.721997022628784,False
hillClimbing,8,19,5,0.047997236251831055,False
simulatedAnnealing,8,19,799,0.12700462341308594,False
genetic,8,19,1600,4.743008136749268,False
hillClimbing,8,20,5,0.039005279541015625,False
simulatedAnnealing,8,20,799,0.1139979362487793,False
genetic,8,20,1600,4.722005844116211,False
hillClimbing,8,21,4,0.03200483322143555,False
simulatedAnnealing,8,21,799,0.11699557304382324,False
genetic,8,21,1600,4.751000881195068,False
hillClimbing,8,22,5,0.05099892616271973,False
simulatedAnnealing,8,22,799,0.11600494384765625,False
genetic,8,22,774,2.311004638671875,True
hillClimbing,8,23,6,0.04900550842285156,False
simulatedAnnealing,8,23,799,0.1179957389831543,False
genetic,8,23,195,0.5780007839202881,True
hillClimbing,8,24,5,0.04599738121032715,False
simulatedAnnealing,8,24,799,0.11599969863891602,False
genetic,8,24,1600,4.7819983959198,False
hillClimbing,8,25,4,0.036005258560180664,False
simulatedAnnealing,8,25,799,0.11500740051269531,False
genetic,8,25,1467,4.408992767333984,True
hillClimbing,8,26,5,0.05099749565124512,False
